title_year,,duration,gross,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
2015.0,50%,148.0,200074175.0,135000000.0,8.0,94000.0,120430993.0,14868024.0
2015.0,75%,156.0,281666058.0,190000000.0,8.0,118000.0,133029270.0,18434251.0
2015.0,max,187.0,458991599.0,250000000.0,8.0,190000.0,208991599.0,27865547.0
2016.0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016.0,mean,143.0,105899126.0,121333333.0,7.0,30000.0,-15434208.0,-3513406.0
2016.0,std,3.0,158586389.0,78553591.0,1.0,30777.0,94547452.0,13187715.0
2016.0,min,139.0,0.0,50000000.0,6.0,0.0,-100000000.0,-16666667.0
2016.0,25%,141.0,5097492.0,62500000.0,6.0,2500.0,-82402508.0,-13399934.0
2016.0,50%,142.0,36606192.0,100000000.0,7.0,27000.0,-26312473.0,-3786068.0
2016.0,75%,144.0,129444420.0,158500000.0,7.0,51500.0,-3636915.0,-502126.0
2016.0,max,147.0,407197282.0,250000000.0,8.0,72000.0,157197282.0,19170400.0
