period,asset_cashflow,interest_payment,advance_maintenance_cashflow,operating_net_income,debt_payment,net_cashflow,outstanding_equity,outstanding_asset_balance,outstanding_debt
27,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,5239265.225015552,6322179.06995878,0.0
28,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,5722391.808692179,5944422.137448132,0.0
29,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,6205518.392368806,5560369.256062307,0.0
30,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,6688644.9760454325,5169915.493320052,0.0
31,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,7171771.559722059,4772954.167865424,0.0
32,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,7654898.143398686,4369376.820319887,0.0
33,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,8138024.727075313,3959073.183648592,0.0
34,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,8621151.310751941,3541931.1530327746,0.0
35,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,9104277.894428568,3117836.755240027,0.0
36,483126.5836766272,0.0,0.0,483126.5836766272,0.0,483126.5836766272,9587404.478105195,2686674.1174840718,0.0
37,445963.00031688664,0.0,0.0,445963.00031688664,0.0,445963.00031688664,10033367.478422081,2285489.0191252576,0.0
38,408799.4169571461,0.0,0.0,408799.4169571461,0.0,408799.4169571461,10442166.895379227,1914781.085820204,0.0
39,371635.8335974055,0.0,0.0,371635.8335974055,0.0,371635.8335974055,10813802.728976632,1575058.2703198069,0.0
40,334472.25023766496,0.0,0.0,334472.25023766496,0.0,334472.25023766496,11148274.979214296,1266836.9912541434,0.0
41,297308.6668779244,0.0,0.0,297308.6668779244,0.0,297308.6668779244,11445583.64609222,990642.2742304597,0.0
42,260145.08351818388,0.0,0.0,260145.08351818388,0.0,260145.08351818388,11705728.729610404,747007.8952827884,0.0
43,222981.50015844332,0.0,0.0,222981.50015844332,0.0,222981.50015844332,11928710.229768848,536476.5267123964,0.0
44,185817.91679870276,0.0,0.0,185817.91679870276,0.0,185817.91679870276,12114528.146567551,359599.8853589051,0.0
45,148654.3334389622,0.0,0.0,148654.3334389622,0.0,148654.3334389622,12263182.480006514,216938.8833425962,0.0
46,111490.75007922165,0.0,0.0,111490.75007922165,0.0,111490.75007922165,12374673.230085736,109063.78131908935,0.0
47,74327.1667194811,0.0,0.0,74327.1667194811,0.0,74327.1667194811,12449000.396805217,36554.344288264605,0.0
48,37163.58335974055,0.0,0.0,37163.58335974055,0.0,37163.58335974055,12486163.980164958,0.0,0.0
